timestep_time;vehicle_CO;vehicle_CO2;vehicle_HC;vehicle_NOx;vehicle_PMx;vehicle_angle;vehicle_eclass;vehicle_electricity;vehicle_fuel;vehicle_id;vehicle_lane;vehicle_noise;vehicle_pos;vehicle_route;vehicle_speed;vehicle_type;vehicle_waiting;vehicle_x;vehicle_y
0.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;1.70;!bike0!var#1;0.00;bike_bicycle;0.00;1734.27;843.87
0.00;179.19;1228.61;0.64;0.31;0.17;180.86;HBEFA3/LDV_G_EU6;0.00;0.53;moto0;-205860388#3_1;55.94;2.30;!moto0!var#1;0.00;moto_motorcycle;0.00;2063.37;530.94
0.00;15.20;7380.56;0.00;84.89;2.21;220.80;HBEFA3/HDV;0.00;3.13;truck0;169923246#1_1;67.11;7.20;!truck0!var#1;0.00;truck_truck;0.00;1605.10;722.14
0.00;0.00;2416.04;0.01;0.72;0.01;330.42;HBEFA3/PC_G_EU4;0.00;1.04;veh0;169923249#0_1;65.15;5.10;!veh0!var#1;14.72;veh_passenger;0.00;2484.29;1373.04
1.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;2.53;!bike0!var#1;0.83;bike_bicycle;0.00;1734.94;844.37
1.00;408.41;9053.27;1.78;1.87;0.60;204.86;HBEFA3/LDV_G_EU6;0.00;3.89;moto0;-205860388#3_1;81.62;7.66;!moto0!var#1;5.36;moto_motorcycle;0.00;2061.77;525.87
1.00;18.39;10332.12;0.00;106.66;2.54;221.62;HBEFA3/HDV;0.00;4.38;truck0;169923246#1_1;73.76;8.31;!truck0!var#1;1.11;truck_truck;0.00;1604.32;721.34
1.00;0.00;0.00;0.00;0.00;0.00;295.55;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#0_1;64.48;19.58;!veh0!var#1;14.48;veh_passenger;0.00;2474.41;1381.61
2.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;4.32;!bike0!var#1;1.80;bike_bicycle;0.00;1736.39;845.45
2.00;742.32;18365.78;3.36;3.71;1.19;204.86;HBEFA3/LDV_G_EU6;0.00;7.90;moto0;-205860388#3_1;85.51;18.70;!moto0!var#1;11.04;moto_motorcycle;0.00;2057.07;515.73
2.00;22.79;14376.39;0.00;136.79;2.99;223.38;HBEFA3/HDV;0.00;6.09;truck0;169923246#1_1;75.13;10.67;!truck0!var#1;2.37;truck_truck;0.00;1602.64;719.63
2.00;0.00;0.00;0.00;0.00;0.00;268.11;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;62.46;5.80;!veh0!var#1;13.49;veh_passenger;0.00;2461.21;1382.78
3.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;6.78;!bike0!var#1;2.46;bike_bicycle;0.00;1738.37;846.93
3.00;184.67;6302.65;0.88;1.37;0.31;204.86;HBEFA3/LDV_G_EU6;0.00;2.71;moto0;-205860388#3_1;67.38;30.99;!moto0!var#1;12.30;moto_motorcycle;0.00;2051.84;504.43
3.00;25.87;17229.29;0.00;157.72;3.31;224.35;HBEFA3/HDV;0.00;7.30;truck0;169923246#1_1;75.19;14.21;!truck0!var#1;3.53;truck_truck;0.00;1600.15;717.07
3.00;86.99;7082.90;0.57;2.92;0.13;249.99;HBEFA3/PC_G_EU4;0.00;3.04;veh0;169923249#1_1;68.61;20.51;!veh0!var#1;14.70;veh_passenger;0.00;2446.95;1380.58
3.00;164.78;2624.72;0.81;1.20;0.07;311.06;HBEFA3/PC_G_EU4;0.00;1.13;veh1;-225052910#1_1;55.94;5.10;!veh1!var#1;0.00;veh_passenger;0.00;1925.71;463.51
4.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;10.30;!bike0!var#1;3.52;bike_bicycle;0.00;1741.21;849.05
4.00;0.00;0.00;0.00;0.00;0.00;204.86;HBEFA3/LDV_G_EU6;0.00;0.00;moto0;-205860388#3_1;60.41;42.23;!moto0!var#1;11.24;moto_motorcycle;0.00;2047.05;494.11
4.00;29.05;20170.73;0.00;179.37;3.63;224.35;HBEFA3/HDV;0.00;8.55;truck0;169923246#1_1;75.60;18.89;!truck0!var#1;4.68;truck_truck;0.00;1596.84;713.69
4.00;0.00;0.00;0.00;0.00;0.00;249.99;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;64.98;35.16;!veh0!var#1;14.65;veh_passenger;0.00;2433.27;1375.60
4.00;148.04;2955.05;0.74;1.32;0.07;311.06;HBEFA3/PC_G_EU4;0.00;1.27;veh1;-225052910#1_1;62.52;6.48;!veh1!var#1;1.38;veh_passenger;0.00;1924.68;464.41
5.00;0.00;0.00;0.00;0.00;0.00;53.24;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;14.48;!bike0!var#1;4.18;bike_bicycle;0.00;1744.58;851.57
5.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;1.70;!bike1!var#1;5.56;bike_bicycle;0.00;1855.47;1287.31
5.00;20.17;5286.11;4.85;60.75;2.01;222.25;HBEFA3/Bus;0.00;2.25;bus0;169923246#1_1;67.11;12.10;!bus0!var#1;0.00;bus_bus;0.00;1601.63;718.60
5.00;0.00;0.00;0.00;0.00;0.00;204.86;HBEFA3/LDV_G_EU6;0.00;0.00;moto0;-205860388#3_1;39.77;44.67;!moto0!var#1;2.44;moto_motorcycle;0.00;2046.01;491.87
5.00;32.79;23619.80;0.00;204.95;4.02;224.35;HBEFA3/HDV;0.00;10.01;truck0;169923246#1_1;76.32;24.73;!truck0!var#1;5.84;truck_truck;0.00;1592.71;709.46
5.00;0.00;0.00;0.00;0.00;0.00;249.99;HBEFA3/PC_G_EU4;0.00;0.00;veh0;169923249#1_1;65.05;49.79;!veh0!var#1;14.64;veh_passenger;0.00;2419.62;1370.63
5.00;133.26;3267.70;0.68;1.43;0.07;311.06;HBEFA3/PC_G_EU4;0.00;1.40;veh1;-225052910#1_1;62.85;9.18;!veh1!var#1;2.70;veh_passenger;0.00;1922.64;466.19
5.00;0.00;2460.71;0.01;0.73;0.01;25.26;HBEFA3/PC_G_EU4;0.00;1.06;veh2;205860388#0_1;65.44;5.10;!veh2!var#1;15.15;veh_passenger;0.00;1941.43;242.68
6.00;0.00;0.00;0.00;0.00;0.00;60.91;Zero/default;0.00;0.00;bike0;169923248#1_1;0.00;19.59;!bike0!var#1;5.11;bike_bicycle;0.00;1748.97;854.25
6.00;0.00;0.00;0.00;0.00;0.00;141.15;Zero/default;0.00;0.00;bike1;-225052896#3_1;0.00;6.77;!bike1!var#1;5.07;bike_bicycle;0.00;1858.65;1283.36
6.00;21.10;6355.26;4.99;67.76;2.11;222.53;HBEFA3/Bus;0.00;2.71;bus0;169923246#1_1;70.87;12.73;!bus0!var#1;0.63;bus_bus;0.00;1601.19;718.14
6.00;141.89;2196.36;0.55;0.52;0.15;128.62;HBEFA3/LDV_G_EU6;0.00;0.94;moto0;:1674805799_7_0;60.98;0.65;!moto0!var#1;3.28;moto_motorcycle;0.00;2047.56;489.65
6.00;31.71;22709.76;0.00;196.79;3.89;224.35;HBEFA3/HDV;0.00;9.63;truck0;169923246#1_1;75.42;31.48;!truck0!var#1;6.75;truck_truck;0.00;1587.93;704.58
6.00;0.00;2659.59;0.04;0.84;0.02;251.51;HBEFA3/PC_G_EU4;0.00;1.14;veh0;169923249#1_1;65.27;64.49;!veh0!var#1;14.70;veh_passenger;0.00;2405.79;1365.94
6.00;122.40;3775.14;0.65;1.63;0.08;311.06;HBEFA3/PC_G_EU4;0.00;1.62;veh1;-225052910#1_1;63.95;13.32;!veh1!var#1;4.14;veh_passenger;0.00;1919.51;468.91
6.00;0.00;0.00;0.00;0.00;0.00;25.26;HBEFA3/PC_G_EU4;0.00;0.00;veh2;205860388#0_1;64.12;19.75;!veh2!var#1;14.65;veh_passenger;0.00;1947.67;255.93
